,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths
247185,WRL ,WRL,World,2022-09-16,611634325.0,455619.0,6526599.0,2010.0
247184,WRL ,WRL,World,2022-09-15,611178706.0,611334.0,6524589.0,2571.0
246526,WRL ,WRL,World,2020-11-26,61113395.0,589122.0,1507072.0,10935.0
247183,WRL ,WRL,World,2022-09-14,610567372.0,710885.0,6522018.0,2394.0
247182,WRL ,WRL,World,2022-09-13,609869421.0,548532.0,6519680.0,1982.0
247181,WRL ,WRL,World,2022-09-12,609320889.0,485260.0,6517699.0,1515.0
247180,WRL ,WRL,World,2022-09-11,608835770.0,314236.0,6516185.0,786.0
247179,WRL ,WRL,World,2022-09-10,608521534.0,313189.0,6515399.0,942.0
247178,WRL ,WRL,World,2022-09-09,608208345.0,525682.0,6514457.0,2295.0
246346,WRL ,WRL,World,2020-05-30,6079225.0,135040.0,402897.0,4361.0
247177,WRL ,WRL,World,2022-09-08,607682663.0,584017.0,6512164.0,2239.0
247176,WRL ,WRL,World,2022-09-07,607098646.0,616231.0,6509925.0,2185.0
247175,WRL ,WRL,World,2022-09-06,606482415.0,674102.0,6507749.0,2315.0
247174,WRL ,WRL,World,2022-09-05,605808313.0,457719.0,6505434.0,1446.0
247173,WRL ,WRL,World,2022-09-04,605350594.0,370328.0,6503988.0,1111.0
246525,WRL ,WRL,World,2020-11-25,60524273.0,617006.0,1496137.0,12024.0
247172,WRL ,WRL,World,2022-09-03,604980266.0,376583.0,6502877.0,1076.0
247171,WRL ,WRL,World,2022-09-02,604603683.0,657529.0,6501801.0,2716.0
247170,WRL ,WRL,World,2022-09-01,603946154.0,679810.0,6499085.0,2553.0
246239,WRL ,WRL,World,2020-02-13,60384.0,15152.0,1373.0,253.0
247169,WRL ,WRL,World,2022-08-31,603266344.0,753139.0,6496532.0,3366.0
247168,WRL ,WRL,World,2022-08-30,602513205.0,748157.0,6493166.0,2520.0
247167,WRL ,WRL,World,2022-08-29,601765048.0,577242.0,6490668.0,2013.0
247166,WRL ,WRL,World,2022-08-28,601187806.0,406153.0,6488655.0,1021.0
247165,WRL ,WRL,World,2022-08-27,600781653.0,452570.0,6487634.0,1210.0
247164,WRL ,WRL,World,2022-08-26,600329083.0,702170.0,6486424.0,2528.0
246282,WRL ,WRL,World,2020-03-27,599748.0,63913.0,29811.0,3638.0
247163,WRL ,WRL,World,2022-08-25,599626913.0,865053.0,6483896.0,2957.0
246524,WRL ,WRL,World,2020-11-24,59907267.0,590741.0,1484113.0,12522.0
247162,WRL ,WRL,World,2022-08-24,598761860.0,884541.0,6480939.0,3156.0
247161,WRL ,WRL,World,2022-08-23,597877380.0,889677.0,6477783.0,2934.0
247160,WRL ,WRL,World,2022-08-22,596988167.0,711211.0,6474850.0,1614.0
247159,WRL ,WRL,World,2022-08-21,596276956.0,484447.0,6473427.0,1719.0
247158,WRL ,WRL,World,2022-08-20,595792509.0,574277.0,6471708.0,1189.0
247157,WRL ,WRL,World,2022-08-19,595218232.0,801559.0,6470519.0,2713.0
246345,WRL ,WRL,World,2020-05-29,5944185.0,121475.0,398536.0,5156.0
247156,WRL ,WRL,World,2022-08-18,594416673.0,944823.0,6467806.0,2982.0
247155,WRL ,WRL,World,2022-08-17,593471850.0,990418.0,6464824.0,3237.0
246523,WRL ,WRL,World,2020-11-23,59316526.0,534097.0,1471591.0,8729.0
247154,WRL ,WRL,World,2022-08-16,592481432.0,1083415.0,6461587.0,3436.0
247153,WRL ,WRL,World,2022-08-15,591398017.0,855531.0,6458151.0,2395.0
247152,WRL ,WRL,World,2022-08-14,590542486.0,460678.0,6455756.0,994.0
247151,WRL ,WRL,World,2022-08-13,590081808.0,636417.0,6454762.0,1482.0
247150,WRL ,WRL,World,2022-08-12,589445391.0,752864.0,6453280.0,2816.0
247149,WRL ,WRL,World,2022-08-11,588692527.0,1005492.0,6450464.0,3206.0
246522,WRL ,WRL,World,2020-11-22,58782429.0,498012.0,1462862.0,7669.0
247148,WRL ,WRL,World,2022-08-10,587687035.0,1026922.0,6447258.0,2704.0
247147,WRL ,WRL,World,2022-08-09,586660113.0,1040298.0,6444554.0,3561.0
247146,WRL ,WRL,World,2022-08-08,585619815.0,816723.0,6440993.0,2303.0
247145,WRL ,WRL,World,2022-08-07,584803092.0,497795.0,6438690.0,940.0
247144,WRL ,WRL,World,2022-08-06,584305297.0,1024070.0,6437750.0,1729.0
247143,WRL ,WRL,World,2022-08-05,583127133.0,900918.0,6436021.0,2945.0
246521,WRL ,WRL,World,2020-11-21,58284417.0,592471.0,1455193.0,9304.0
246344,WRL ,WRL,World,2020-05-28,5822710.0,119993.0,393380.0,4992.0
247142,WRL ,WRL,World,2022-08-04,582226215.0,1061208.0,6433076.0,3173.0
247141,WRL ,WRL,World,2022-08-03,580771941.0,1155267.0,6429903.0,3149.0
247140,WRL ,WRL,World,2022-08-02,579616674.0,1190622.0,6426754.0,2884.0
247139,WRL ,WRL,World,2022-08-01,578426052.0,873583.0,6423876.0,2435.0
247138,WRL ,WRL,World,2022-07-31,577552469.0,544538.0,6421441.0,915.0
247137,WRL ,WRL,World,2022-07-30,577007931.0,576049.0,6420526.0,1095.0
246520,WRL ,WRL,World,2020-11-20,57691946.0,674027.0,1445889.0,11752.0
247136,WRL ,WRL,World,2022-07-29,576431882.0,1374960.0,6419431.0,3020.0
247135,WRL ,WRL,World,2022-07-28,575056928.0,1116116.0,6416411.0,2758.0
247134,WRL ,WRL,World,2022-07-27,573940812.0,1426366.0,6413653.0,3349.0
247133,WRL ,WRL,World,2022-07-26,572514446.0,1198418.0,6410305.0,2916.0
247132,WRL ,WRL,World,2022-07-25,571317663.0,973805.0,6407389.0,1949.0
247131,WRL ,WRL,World,2022-07-24,570343858.0,550848.0,6405440.0,1031.0
246343,WRL ,WRL,World,2020-05-27,5702717.0,102551.0,388388.0,5220.0
246519,WRL ,WRL,World,2020-11-19,57017919.0,653934.0,1434137.0,11142.0
247130,WRL ,WRL,World,2022-07-23,569793010.0,636553.0,6404409.0,1287.0
247129,WRL ,WRL,World,2022-07-22,569156457.0,1094564.0,6403122.0,2862.0
247128,WRL ,WRL,World,2022-07-21,568061900.0,1154079.0,6400260.0,2543.0
247127,WRL ,WRL,World,2022-07-20,566907821.0,1602630.0,6397717.0,2895.0
247126,WRL ,WRL,World,2022-07-19,565306215.0,1545645.0,6394822.0,3079.0
247125,WRL ,WRL,World,2022-07-18,563761340.0,1198478.0,6391743.0,2081.0
246518,WRL ,WRL,World,2020-11-18,56363985.0,622151.0,1422995.0,11472.0
247124,WRL ,WRL,World,2022-07-17,562562862.0,459219.0,6389662.0,986.0
247123,WRL ,WRL,World,2022-07-16,562103643.0,552759.0,6388676.0,1083.0
247122,WRL ,WRL,World,2022-07-15,561550884.0,1001197.0,6387593.0,2308.0
247121,WRL ,WRL,World,2022-07-14,560549687.0,1002369.0,6385285.0,2073.0
246342,WRL ,WRL,World,2020-05-26,5600166.0,92358.0,383168.0,4779.0
247120,WRL ,WRL,World,2022-07-13,559547318.0,1426181.0,6383212.0,2609.0
247119,WRL ,WRL,World,2022-07-12,558121137.0,1223065.0,6380603.0,2459.0
246223,WRL ,WRL,World,2020-01-28,5580.0,2651.0,131.0,49.0
246517,WRL ,WRL,World,2020-11-17,55741834.0,602187.0,1411523.0,10974.0
246217,WRL ,WRL,World,2020-01-22,557.0,0.0,17.0,0.0
